Category,Parameter,F1,Precision,Recall,Measure
LCDD,"(600.0, 600.0, 5.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 10.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 20.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 50.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 100.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 150.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(600.0, 600.0, 200.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279,15.0
LCDD,"(800.0, 800.0, 5.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 10.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 20.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 50.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 100.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 150.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(800.0, 800.0, 200.0)",0.6191646191646191,0.7078651685393258,0.5502183406113537,15.0
LCDD,"(1200.0, 1200.0, 5.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 10.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 20.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 50.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 100.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 150.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 200.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 10.0)",0.6776859504132232,0.917910447761194,0.537117903930131,15.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 20.0)",0.6703296703296703,0.9037037037037036,0.5327510917030568,15.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 50.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 10.0)",0.7461139896373058,0.9171974522292994,0.62882096069869,15.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 20.0)",0.7390180878552972,0.9050632911392406,0.6244541484716157,15.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 50.0)",0.8071979434447301,0.98125,0.6855895196506551,15.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 10.0)",0.7455012853470437,0.90625,0.6331877729257642,15.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 20.0)",0.7487179487179487,0.906832298136646,0.6375545851528385,15.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 50.0)",0.8112244897959183,0.9754601226993864,0.6943231441048034,15.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 10.0)",0.7645569620253164,0.9096385542168676,0.6593886462882096,15.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 20.0)",0.7645569620253164,0.9096385542168676,0.6593886462882096,15.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 50.0)",0.8202531645569621,0.9759036144578314,0.7074235807860262,15.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 10.0)",0.6776859504132232,0.917910447761194,0.537117903930131,15.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 20.0)",0.6703296703296703,0.9037037037037036,0.5327510917030568,15.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 50.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 10.0)",0.7461139896373058,0.9171974522292994,0.62882096069869,15.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 20.0)",0.7390180878552972,0.9050632911392406,0.6244541484716157,15.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 50.0)",0.8071979434447301,0.98125,0.6855895196506551,15.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 10.0)",0.7455012853470437,0.90625,0.6331877729257642,15.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 20.0)",0.7487179487179487,0.906832298136646,0.6375545851528385,15.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 50.0)",0.8112244897959183,0.9754601226993864,0.6943231441048034,15.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 10.0)",0.7645569620253164,0.9096385542168676,0.6593886462882096,15.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 20.0)",0.7645569620253164,0.9096385542168676,0.6593886462882096,15.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 50.0)",0.8202531645569621,0.9759036144578314,0.7074235807860262,15.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 10.0)",0.6887052341597797,0.9328358208955224,0.5458515283842795,15.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 20.0)",0.6813186813186813,0.9185185185185184,0.5414847161572053,15.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 50.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 10.0)",0.7564766839378239,0.929936305732484,0.6375545851528385,15.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 20.0)",0.7493540051679587,0.9177215189873418,0.6331877729257642,15.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 50.0)",0.8071979434447301,0.98125,0.6855895196506551,15.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 10.0)",0.7557840616966581,0.91875,0.6419213973799127,15.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 20.0)",0.7589743589743589,0.9192546583850932,0.6462882096069869,15.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 50.0)",0.8112244897959183,0.9754601226993864,0.6943231441048034,15.0
