,collection,noise_level,log_name,trace_length,event_class_size,unique_traces,log_size
230,input,train,log_2692_1708942456.xes,3.883595691797846,7.0,738.0,4828.0
231,input,train,log_930_1708942458.xes,3.5054907343857242,11.0,16.0,2914.0
232,input,train,log_3616_1708942455.xes,4.873088128186453,8.0,1019.0,5492.0
233,input,train,log_3029_1708942456.xes,9.699068322981367,8.0,1955.0,3220.0
234,input,train,log_3952_1708942457.xes,6.945233866193013,14.0,1826.0,3378.0
235,input,train,log_2859_1708942457.xes,5.099873577749684,8.0,6.0,4746.0
236,input,train,log_3448_1708942459.xes,6.2198649951783995,12.0,393.0,1037.0
237,input,train,log_1517_1708942456.xes,4.590628144315079,12.0,2772.0,6957.0
238,input,train,log_1601_1708942456.xes,4.543850806451613,10.0,1856.0,5952.0
239,input,train,log_1850_1708942454.xes,5.245901639344262,11.0,2544.0,6954.0
240,input,train,log_3447_1708942458.xes,3.751143043762247,7.0,12.0,4593.0
241,input,train,log_2186_1708942454.xes,16.29016331181162,11.0,2265.0,2633.0
242,input,train,log_258_1708942457.xes,5.998710232158212,7.0,838.0,4652.0
243,input,train,log_3951_1708942454.xes,10.387722772277227,11.0,2063.0,5050.0
244,input,train,log_681_1708942457.xes,5.9931291715744015,6.0,755.0,5094.0
245,input,train,log_1014_1708942457.xes,6.993100275988961,7.0,1368.0,4348.0
246,input,train,log_4877_1708942455.xes,6.626429980276134,13.0,1613.0,5070.0
247,input,train,log_3280_1708942457.xes,8.316355404640634,11.0,2547.0,3534.0
248,input,train,log_4538_1708942453.xes,8.393858307849133,8.0,523.0,7848.0
249,input,train,log_2272_1708942457.xes,6.0,6.0,1.0,5360.0
250,input,train,log_4207_1708942458.xes,4.6350427350427355,13.0,829.0,3510.0
251,input,train,log_596_1708942458.xes,4.246006389776358,6.0,18.0,4069.0
252,input,train,log_594_1708942455.xes,6.0,7.0,10.0,7772.0
253,input,train,log_1015_1708942458.xes,5.775224215246637,12.0,687.0,3568.0
254,input,train,log_2861_1708942459.xes,1.770890979524073,5.0,301.0,5421.0
255,input,train,log_424_1708942458.xes,4.791054593290945,7.0,1382.0,4561.0
256,input,train,log_3534_1708942455.xes,9.38474945533769,13.0,2971.0,4590.0
257,input,train,log_2024_1708942461.xes,3.152701644479248,6.0,310.0,1277.0
258,input,train,log_7_1708942459.xes,4.0,7.0,12.0,3045.0
259,input,train,log_173_1708942455.xes,14.02291325695581,11.0,2498.0,3666.0
260,input,train,log_2021_1708942456.xes,7.3289583333333335,14.0,2284.0,4800.0
261,input,train,log_4959_1708942458.xes,5.0,6.0,2.0,3604.0
262,input,train,log_682_1708942459.xes,6.462291306850893,10.0,713.0,3474.0
263,input,train,log_846_1708942460.xes,3.017308371600141,7.0,3.0,2831.0
264,input,train,log_2185_1708942448.xes,14.911403638515013,14.0,3918.0,6761.0
265,input,train,log_259_1708942458.xes,11.526829268292683,11.0,1446.0,2255.0
266,input,train,log_4034_1708942451.xes,10.476728003711148,13.0,2971.0,6467.0
267,input,train,log_1432_1708942452.xes,14.733832277873729,10.0,2377.0,5211.0
268,input,train,log_3_1708942452.xes,16.192681532304174,11.0,4411.0,5247.0
269,input,train,log_4792_1708942457.xes,8.869056699720316,10.0,1090.0,3933.0
270,input,train,log_260_1708942460.xes,5.510011778563015,11.0,86.0,4245.0
271,input,train,log_4793_1708942459.xes,3.592719919110212,12.0,219.0,4945.0
272,input,train,log_1684_1708942455.xes,9.379670621568975,12.0,1970.0,5647.0
273,input,train,log_340_1708942458.xes,11.887799250072108,12.0,2070.0,3467.0
274,input,train,log_3365_1708942455.xes,11.070223438212494,11.0,1956.0,4386.0
275,input,train,log_2526_1708942458.xes,8.170566037735849,12.0,936.0,2650.0
276,input,train,log_4879_1708942458.xes,4.8674650698602795,7.0,26.0,5010.0
277,input,train,log_3367_1708942460.xes,1.8547374429223744,11.0,380.0,3504.0
278,input,train,log_1935_1708942450.xes,21.625060357315306,12.0,3122.0,4142.0
